seriename,date,value
FIN,1.9.1972,0.10586
FIN,1.12.1972,0.09737
FIN,1.3.1973,0.08565
FIN,1.6.1973,0.07062
FIN,1.9.1973,0.05267
FIN,1.12.1973,0.03241
FIN,1.3.1974,0.01075
FIN,1.6.1974,-0.01118
FIN,1.9.1974,-0.03225
FIN,1.12.1974,-0.05135
FIN,1.3.1975,-0.06757
FIN,1.6.1975,-0.08042
FIN,1.9.1975,-0.08978
FIN,1.12.1975,-0.09568
FIN,1.3.1976,-0.09822
FIN,1.6.1976,-0.09759
FIN,1.9.1976,-0.09404
FIN,1.12.1976,-0.08792
FIN,1.3.1977,-0.07956
FIN,1.6.1977,-0.06928
FIN,1.9.1977,-0.05752
FIN,1.12.1977,-0.04489
FIN,1.3.1978,-0.03229
FIN,1.6.1978,-0.02076
FIN,1.9.1978,-0.01122
FIN,1.12.1978,-0.00435
FIN,1.3.1979,-0.00066
FIN,1.6.1979,-0.00024
FIN,1.9.1979,-0.00269
FIN,1.12.1979,-0.00718
FIN,1.3.1980,-0.01238
FIN,1.6.1980,-0.01671
FIN,1.9.1980,-0.01881
FIN,1.12.1980,-0.01759
FIN,1.3.1981,-0.01232
FIN,1.6.1981,-0.00298
FIN,1.9.1981,0.00979
FIN,1.12.1981,0.02471
FIN,1.3.1982,0.0399
FIN,1.6.1982,0.05327
FIN,1.9.1982,0.06301
FIN,1.12.1982,0.06763
FIN,1.3.1983,0.06618
FIN,1.6.1983,0.05849
FIN,1.9.1983,0.04527
FIN,1.12.1983,0.02807
FIN,1.3.1984,0.00915
FIN,1.6.1984,-0.00905
FIN,1.9.1984,-0.02428
FIN,1.12.1984,-0.03458
FIN,1.3.1985,-0.03846
FIN,1.6.1985,-0.03515
FIN,1.9.1985,-0.02465
FIN,1.12.1985,-0.00791
FIN,1.3.1986,0.01328
FIN,1.6.1986,0.0369
FIN,1.9.1986,0.06094
FIN,1.12.1986,0.08333
FIN,1.3.1987,0.10217
FIN,1.6.1987,0.11578
FIN,1.9.1987,0.1227
FIN,1.12.1987,0.12226
FIN,1.3.1988,0.11451
FIN,1.6.1988,0.09974
FIN,1.9.1988,0.07849
FIN,1.12.1988,0.05165
FIN,1.3.1989,0.02036
FIN,1.6.1989,-0.01371
FIN,1.9.1989,-0.04839
FIN,1.12.1989,-0.08168
FIN,1.3.1990,-0.11182
FIN,1.6.1990,-0.13698
FIN,1.9.1990,-0.15544
FIN,1.12.1990,-0.1658
FIN,1.3.1991,-0.167
FIN,1.6.1991,-0.15888
FIN,1.9.1991,-0.14237
FIN,1.12.1991,-0.11883
FIN,1.3.1992,-0.09008
FIN,1.6.1992,-0.0586
FIN,1.9.1992,-0.02718
FIN,1.12.1992,0.00135
FIN,1.3.1993,0.02429
FIN,1.6.1993,0.03982
FIN,1.9.1993,0.04734
FIN,1.12.1993,0.04699
FIN,1.3.1994,0.03966
FIN,1.6.1994,0.02724
FIN,1.9.1994,0.01215
FIN,1.12.1994,-0.00294
FIN,1.3.1995,-0.01542
FIN,1.6.1995,-0.02344
FIN,1.9.1995,-0.02617
FIN,1.12.1995,-0.02334
FIN,1.3.1996,-0.01523
FIN,1.6.1996,-0.0028
FIN,1.9.1996,0.01271
FIN,1.12.1996,0.02988
FIN,1.3.1997,0.04734
FIN,1.6.1997,0.06424
FIN,1.9.1997,0.0801
FIN,1.12.1997,0.09445
FIN,1.3.1998,0.10677
FIN,1.6.1998,0.11637
FIN,1.9.1998,0.12234
FIN,1.12.1998,0.12374
FIN,1.3.1999,0.11962
FIN,1.6.1999,0.10901
FIN,1.9.1999,0.09143
FIN,1.12.1999,0.06706
FIN,1.3.2000,0.03688
FIN,1.6.2000,0.00272
FIN,1.9.2000,-0.03295
FIN,1.12.2000,-0.06737
FIN,1.3.2001,-0.09762
FIN,1.6.2001,-0.12115
FIN,1.9.2001,-0.13621
FIN,1.12.2001,-0.14199
FIN,1.3.2002,-0.13872
FIN,1.6.2002,-0.12758
FIN,1.9.2002,-0.11025
FIN,1.12.2002,-0.08881
FIN,1.3.2003,-0.06551
FIN,1.6.2003,-0.04232
FIN,1.9.2003,-0.02066
FIN,1.12.2003,-0.00139
FIN,1.3.2004,0.01538
FIN,1.6.2004,0.02996
FIN,1.9.2004,0.04271
FIN,1.12.2004,0.05387
FIN,1.3.2005,0.06361
FIN,1.6.2005,0.07166
FIN,1.9.2005,0.07744
FIN,1.12.2005,0.08028
FIN,1.3.2006,0.07929
FIN,1.6.2006,0.07361
FIN,1.9.2006,0.06287
FIN,1.12.2006,0.04735
